"rank","profile","name","url","state","revenue","growth","industry","workers","founded","yrs_on_list","previous_workers","metro","city"
141,"https://www.inc.com/profile/bluedog","BlueDog","yourbluedog.com","FL",4,283.3118,"Business Products & Services",42,2010,3,19,NA,"Vero Beach"
142,"https://www.inc.com/profile/kontrol","Kontrol","kontrolpayables.com","MD",4.6,282.6742,"Financial Services",12,2012,2,3,NA,"Severna Park"
143,"https://www.inc.com/profile/porcaro-stolarek-mete-partners","Porcaro Stolarek Mete Partners","psmpartners.com","IL",8.3,282.1103,"IT Management",65,2014,1,10,"Chicago","Chicago"
144,"https://www.inc.com/profile/ciscom-solutions","CisCom Solutions","ciscom.com","KY",8.6,281.9206,"IT Management",29,1996,2,12,"Louisville/Jefferson County, KY-IN","Louisville"
145,"https://www.inc.com/profile/jb-office","JB Office","shopjboffice.com","CA",2.9,281.8377,"Business Products & Services",10,2012,2,6,"Los Angeles","Chatsworth"
146,"https://www.inc.com/profile/jcw-search","JCW Search","jcwresourcing.com","NY",5.9,281.2014,"Human Resources",27,2011,2,19,"New York City","New York"
147,"https://www.inc.com/profile/star-lab-corp","Star Lab Corp.","starlab.io","DC",5.7,281.1928,"Software",20,2014,1,9,"Washington, DC","Washington"
148,"https://www.inc.com/profile/expero","Expero","experoinc.com","TX",8.5,280.6777,"Software",40,2001,4,12,"Houston","Houston"
149,"https://www.inc.com/profile/Spiceology","Spiceology","http://spiceology.com","WA",3.2,279.7128,"Food & Beverage",49,2013,1,10,NA,"Spokane"
150,"https://www.inc.com/profile/boomset","Boomset","boomset.com","NY",4,279.3436,"Software",32,2011,1,12,"New York City","New York"
151,"https://www.inc.com/profile/shipsound","ShipSound","shipsound.com","DE",3.6,279.0461,"Retail",7,2006,2,2,"Philadelphia","Wilmington"
152,"https://www.inc.com/profile/infinite-leap","Infinite Leap","infiniteleap.net","ND",6.2,278.7341,"IT Management",31,2011,1,10,NA,"Fargo"
153,"https://www.inc.com/profile/b3-medical","B3 Medical","b3medical.com","FL",6.4,278.2223,"Health",45,2015,1,30,"Tampa","Lutz"
154,"https://www.inc.com/profile/self-publishing-school","Self-Publishing School","self-publishingschool.com","CA",4.4,277.5732,"Education",17,2014,2,5,NA,"Venice"
155,"https://www.inc.com/profile/jb-software-and-consulting","JB Software and Consulting","jbsac.com","TX",5.1,277.3421,"Business Products & Services",60,2004,1,6,"Dallas","Allen"
156,"https://www.inc.com/profile/atredis-partners","Atredis Partners","atredis.com","MO",5.6,277.2509,"IT Management",27,2013,2,8,"St. Louis, MO-IL","Saint Louis"
